Season,Episode,Title,Airdate,Description,Image
1,1,Simpsons Roasting on an Open Fire,17 Dec. 1989,The family is forced to spend all of their savings to get Bart's new tattooo removed\comma and with no money for Christmas\comma Homer is forced to become a store Santa.,https://m.media-amazon.com/images/M/MV5BZjJjMzMwOTctODk5ZC00NWM4LTgyNjAtNjNmN2I1OTc5OTAyXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_.jpg
1,2,Bart the Genius,14 Jan. 1990,Bart ends up at a school for gifted children after cheating on an IQ test.,https://m.media-amazon.com/images/M/MV5BOTA0MTk3ZjktZGFhMi00ODcxLTlkYzgtZTJiMTQ5Y2I4MzhiXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_.jpg
1,3,Homer's Odyssey,21 Jan. 1990,After losing his job\comma Homer contemplates ending it all\comma until he discovers a new life path as a safety advocate.,https://m.media-amazon.com/images/M/MV5BMzQ3M2M1YjQtNTkzNS00MDlhLWFiY2QtOWJiODZhNGJlZWMxXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_.jpg
1,4,There's No Disgrace Like Home,28 Jan. 1990,After being embarrassed by the rest of the family at a company picnic\comma Homer becomes obsessed with improving their behavior towards each other.,https://m.media-amazon.com/images/M/MV5BOTZmNmE1NDUtMmRhOC00ZTYyLTkzMTEtOTM5YTgwMTc5YmMxXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_.jpg
1,5,Bart the General,4 Feb. 1990,After being beaten up by Nelson Muntz one too many times\comma Bart turns to Grampa for help\comma and soon leads a rebellion against the school bully.,https://m.media-amazon.com/images/M/MV5BMzk4ZDU2OTMtZjM0NC00ZWIyLWFmNmQtMjcyZGQ1OWE0ZWMyXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_.jpg
1,6,Moaning Lisa,11 Feb. 1990,A depressed Lisa's spirit is lifted when she meets a jazz-man\comma Bleeding Gums Murphy.,https://m.media-amazon.com/images/M/MV5BODI3ZmEzMmEtNjE2MS00MjMyLWI0MmEtMTdhMWE4YzUwMzkwXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_.jpg
1,7,The Call of the Simpsons,18 Feb. 1990,Homer takes the family camping\comma but it soon becomes a misadventure when they lose their equipment and Homer is mistaken for Bigfoot.,https://m.media-amazon.com/images/M/MV5BOTkxMzY3Y2QtMWMyMC00NDllLTkyMTctZTY4MDFjZGExYTc1XkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_.jpg
1,8,The Telltale Head,25 Feb. 1990,Bart gets more than he bargained for when he saws the head off a statue of the town's founder.,https://m.media-amazon.com/images/M/MV5BMzhhNTM3ZDYtYWQ3OS00NDU2LTk4MGEtOGZmMWUwODlmMjQyXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_.jpg
1,9,Life on the Fast Lane,18 Mar. 1990,Marge contemplates an affair with a handsome bowling instructor.,https://m.media-amazon.com/images/M/MV5BNzcxYWExZWYtMzY1MC00YjhlLWFmZmUtOTQ3ODZhZTUwN2EzXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_.jpg
1,10,Homer's Night Out,25 Mar. 1990,After a photograph of Homer canoodling with an exotic dancer is distributed throughout Springfield\comma he finds himself kicked out of the house by Marge.,https://m.media-amazon.com/images/M/MV5BMTQ4NzU0MjY1OF5BMl5BanBnXkFtZTgwNTE4NTQ2MjE@._V1_.jpg
